RAS2D_TS_Name,Datetime,water_temperature,water_temperature_transport
US_Flow,5/12/2022 0:00,13.5858,13.5858
US_Flow,5/12/2022 0:05,13.5553,13.5553
US_Flow,5/12/2022 0:10,13.5254,13.5254
US_Flow,5/12/2022 0:15,13.4963,13.4963
US_Flow,5/12/2022 0:20,13.4679,13.4679
US_Flow,5/12/2022 0:25,13.4402,13.4402
US_Flow,5/12/2022 0:30,13.4133,13.4133
US_Flow,5/12/2022 0:35,13.3871,13.3871
US_Flow,5/12/2022 0:40,13.3617,13.3617
US_Flow,5/12/2022 0:45,13.3371,13.3371
US_Flow,5/12/2022 0:50,13.3132,13.3132
US_Flow,5/12/2022 0:55,13.2902,13.2902
US_Flow,5/12/2022 1:00,13.2679,13.2679
US_Flow,5/12/2022 1:05,13.2465,13.2465
US_Flow,5/12/2022 1:10,13.226,13.226
US_Flow,5/12/2022 1:15,13.2063,13.2063
US_Flow,5/12/2022 1:20,13.1874,13.1874
US_Flow,5/12/2022 1:25,13.1694,13.1694
US_Flow,5/12/2022 1:30,13.1522,13.1522
US_Flow,5/12/2022 1:35,13.136,13.136
US_Flow,5/12/2022 1:40,13.1206,13.1206
US_Flow,5/12/2022 1:45,13.1061,13.1061
US_Flow,5/12/2022 1:50,13.0926,13.0926
US_Flow,5/12/2022 1:55,13.0799,13.0799
US_Flow,5/12/2022 2:00,13.0681,13.0681
US_Flow,5/12/2022 2:05,13.0573,13.0573
US_Flow,5/12/2022 2:10,13.0474,13.0474
US_Flow,5/12/2022 2:15,13.0384,13.0384
US_Flow,5/12/2022 2:20,13.0304,13.0304
US_Flow,5/12/2022 2:25,13.0233,13.0233
US_Flow,5/12/2022 2:30,13.0171,13.0171
US_Flow,5/12/2022 2:35,13.0119,13.0119
US_Flow,5/12/2022 2:40,13.0076,13.0076
US_Flow,5/12/2022 2:45,13.0043,13.0043
US_Flow,5/12/2022 2:50,13.0019,13.0019
US_Flow,5/12/2022 2:55,13.0005,13.0005
US_Flow,5/12/2022 3:00,13.0,13.0
US_Flow,5/12/2022 3:05,13.0005,13.0005
US_Flow,5/12/2022 3:10,13.0019,13.0019
US_Flow,5/12/2022 3:15,13.0043,13.0043
US_Flow,5/12/2022 3:20,13.0076,13.0076
US_Flow,5/12/2022 3:25,13.0119,13.0119
US_Flow,5/12/2022 3:30,13.0171,13.0171
US_Flow,5/12/2022 3:35,13.0233,13.0233
US_Flow,5/12/2022 3:40,13.0304,13.0304
US_Flow,5/12/2022 3:45,13.0384,13.0384
US_Flow,5/12/2022 3:50,13.0474,13.0474
US_Flow,5/12/2022 3:55,13.0573,13.0573
US_Flow,5/12/2022 4:00,13.0681,13.0681
US_Flow,5/12/2022 4:05,13.0799,13.0799
US_Flow,5/12/2022 4:10,13.0926,13.0926
US_Flow,5/12/2022 4:15,13.1061,13.1061
US_Flow,5/12/2022 4:20,13.1206,13.1206
US_Flow,5/12/2022 4:25,13.136,13.136
US_Flow,5/12/2022 4:30,13.1522,13.1522
US_Flow,5/12/2022 4:35,13.1694,13.1694
US_Flow,5/12/2022 4:40,13.1874,13.1874
US_Flow,5/12/2022 4:45,13.2063,13.2063
US_Flow,5/12/2022 4:50,13.226,13.226
US_Flow,5/12/2022 4:55,13.2465,13.2465
